"logIndex","timestamp","status","PackTemp","PackTemp-l","PackSOC","Vpack","MotAmps","BattAmps","Mods","MotTemp","CtrlTemp","MotRPM","0Module00DisconnectingHPmodvolt","0Module01DisconnectingHPmodvolt","0Module01Registeredmodvolt","0Module00Registeredmodvolt","minsys","diff"
3068,1403705183000,"Riding","17C","17C","95%","115.443V","0","2","11","22C","20C","0",,,,,,
3069,1403705186000,"Riding","17C","17C","95%","115.443V","0","2","11","22C","20C","0",,,,,,
3070,1403705189000,"Riding","17C","17C","95%","115.448V","0","2","11","22C","20C","0",,,,,,
3071,1403705192000,"Riding","17C","17C","95%","115.445V","0","1","11","22C","20C","0",,,,,,
3072,1403705195000,"Riding","18C","17C","95%","115.445V","0","2","11","22C","20C","0",,,,,,
3073,1403705198000,"Riding","18C","17C","95%","115.444V","0","2","11","22C","20C","0",,,,,,
3074,1403705201000,"Riding","18C","17C","95%","115.442V","0","1","11","22C","20C","0",,,,,,
3075,1403705204000,"Riding","18C","17C","95%","115.443V","0","2","11","22C","21C","0",,,,,,
3076,1403705207000,"Riding","18C","17C","95%","115.446V","0","2","11","22C","20C","0",,,,,,
3077,1403705210000,"Riding","17C","17C","95%","115.447V","0","2","11","22C","21C","0",,,,,,
3078,1403705213000,"Riding","18C","17C","95%","115.447V","0","2","11","22C","20C","0",,,,,,
3079,1403705216000,"Riding","18C","17C","95%","115.447V","0","1","11","21C","20C","0",,,,,,
3080,1403705219000,"Riding","18C","17C","95%","115.447V","0","2","11","22C","20C","0",,,,,,
3081,1403705222000,"Riding","17C","17C","95%","115.444V","0","2","11","22C","20C","0",,,,,,
3082,1403705225000,"Riding","18C","17C","95%","115.446V","0","2","11","22C","21C","0",,,,,,
3083,1403705228000,"Riding","17C","17C","95%","115.443V","0","2","11","22C","21C","0",,,,,,
3084,1403705231000,"Riding","18C","17C","95%","115.443V","0","1","11","22C","21C","0",,,,,,
3085,1403705234000,"Riding","17C","17C","95%","115.444V","0","1","11","21C","20C","0",,,,,,
3086,1403705237000,"Riding","18C","16C","95%","115.443V","0","2","11","22C","21C","0",,,,,,
3087,1403705240000,"Riding","18C","17C","95%","115.444V","0","2","11","21C","20C","0",,,,,,
3088,1403705243000,"Riding","18C","17C","95%","115.442V","0","2","11","22C","21C","0",,,,,,
3089,1403705246000,"Riding","18C","17C","95%","115.443V","0","2","11","22C","21C","0",,,,,,
3090,1403705249000,"Riding","18C","17C","95%","115.445V","0","2","11","22C","21C","0",,,,,,
3091,1403705252000,"Riding","18C","17C","95%","115.445V","0","2","11","22C","21C","0",,,,,,
3092,1403705255000,"Riding","17C","17C","95%","115.443V","0","2","11","22C","21C","0",,,,,,
3093,1403705258000,"Riding","18C","17C","95%","115.442V","0","2","11","22C","21C","0",,,,,,
3094,1403705261000,"Riding","18C","17C","95%","115.443V","0","2","11","21C","21C","0",,,,,,
3095,1403705264000,"Riding","18C","17C","95%","115.442V","0","2","11","22C","20C","0",,,,,,
3096,1403705267000,"Riding","18C","17C","95%","115.443V","0","2","11","22C","21C","0",,,,,,
3097,1403705270000,"Riding","18C","17C","95%","115.443V","0","2","11","22C","21C","0",,,,,,
3098,1403705273000,"Riding","18C","17C","95%","115.441V","0","1","11","22C","21C","0",,,,,,
3099,1403705276000,"Riding","18C","17C","95%","115.440V","0","1","11","21C","20C","0",,,,,,
3100,1403705279000,"Riding","18C","17C","95%","115.440V","0","1","11","22C","21C","0",,,,,,
3101,1403705282000,"Riding","18C","17C","95%","115.444V","0","2","11","21C","21C","0",,,,,,
3102,1403705285000,"Riding","18C","17C","95%","115.443V","0","3","11","22C","21C","0",,,,,,
3103,1403705288000,"Riding","18C","17C","95%","115.440V","0","1","11","22C","21C","0",,,,,,
3104,1403705291000,"Riding","18C","17C","95%","115.442V","0","2","11","22C","21C","0",,,,,,
3105,1403705294000,"Riding","18C","17C","95%","115.440V","0","2","11","21C","21C","0",,,,,,
3106,1403705297000,"Riding","18C","17C","95%","115.439V","0","2","11","22C","21C","0",,,,,,
3107,1403705300000,"Riding","18C","17C","95%","115.439V","0","2","11","21C","21C","0",,,,,,
3108,1403705303000,"Riding","18C","17C","95%","115.437V","0","2","11","21C","21C","0",,,,,,
3109,1403705306000,"Riding","18C","17C","95%","115.441V","0","2","11","21C","21C","0",,,,,,
3110,1403705309000,"Riding","18C","17C","95%","115.439V","0","2","11","21C","21C","0",,,,,,
3111,1403705312000,"Riding","18C","17C","95%","115.440V","0","2","11","21C","21C","0",,,,,,
3112,1403705315000,"Riding","18C","17C","95%","115.440V","0","2","11","21C","21C","0",,,,,,
3113,1403705318000,"Riding","18C","17C","95%","115.441V","0","2","11","21C","21C","0",,,,,,
3114,1403705321000,"Riding","18C","17C","95%","115.442V","0","2","11","21C","21C","0",,,,,,
3115,1403705324000,"Riding","18C","17C","95%","115.436V","0","2","11","22C","21C","0",,,,,,
3116,1403705327000,"Riding","18C","17C","95%","115.433V","0","2","11","22C","21C","0",,,,,,
3117,1403705330000,"Riding","18C","17C","95%","115.435V","0","2","11","21C","21C","0",,,,,,
3118,1403705333000,"Riding","18C","17C","95%","115.437V","0","2","11","22C","21C","0",,,,,,
3119,1403705336000,"Riding","18C","17C","95%","115.438V","0","2","11","22C","21C","0",,,,,,
3120,1403705339000,"Riding","18C","17C","95%","115.436V","0","2","11","21C","21C","0",,,,,,
3121,1403705342000,"Riding","18C","17C","95%","115.434V","0","2","11","22C","21C","0",,,,,,
3122,1403705345000,"Riding","18C","17C","95%","115.437V","0","2","11","21C","21C","0",,,,,,
3123,1403705348000,"Riding","18C","17C","95%","115.438V","0","2","11","21C","21C","0",,,,,,
3124,1403705351000,"Riding","18C","17C","95%","115.435V","0","2","11","21C","21C","0",,,,,,
3125,1403705354000,"Riding","18C","17C","95%","115.437V","0","2","11","22C","21C","0",,,,,,
3126,1403705357000,"Riding","18C","17C","95%","115.438V","0","2","11","22C","21C","0",,,,,,
3127,1403705360000,"Riding","18C","17C","95%","115.437V","0","2","11","22C","21C","0",,,,,,
3128,1403705363000,"Riding","18C","17C","95%","115.437V","0","2","11","22C","21C","0",,,,,,
3129,1403705366000,"Riding","18C","17C","95%","115.437V","0","2","11","21C","21C","0",,,,,,
3130,1403705369000,"Riding","18C","17C","95%","115.433V","0","2","11","21C","21C","0",,,,,,
3131,1403705372000,"Riding","18C","17C","95%","115.435V","0","2","11","21C","21C","0",,,,,,
3132,1403705375000,"Riding","18C","17C","95%","115.435V","0","2","11","21C","21C","0",,,,,,
3133,1403705378000,"Riding","18C","17C","95%","115.438V","0","2","11","22C","21C","0",,,,,,
3134,1403705381000,"Riding","18C","17C","95%","115.436V","0","2","11","22C","21C","0",,,,,,
3135,1403705384000,"Riding","18C","17C","95%","115.435V","0","2","11","22C","21C","0",,,,,,
3136,1403705387000,"Riding","18C","17C","95%","115.433V","0","2","11","21C","21C","0",,,,,,
3137,1403705390000,"Riding","18C","17C","95%","115.436V","0","2","11","21C","21C","0",,,,,,
3138,1403705393000,"Riding","18C","17C","95%","115.433V","0","2","11","21C","21C","0",,,,,,
3139,1403705396000,"Riding","18C","17C","95%","115.435V","0","2","11","22C","21C","0",,,,,,
3140,1403705399000,"Riding","18C","17C","95%","115.432V","0","2","11","22C","21C","0",,,,,,
3141,1403705402000,"Riding","18C","17C","95%","115.434V","0","1","11","22C","21C","0",,,,,,
3142,1403705405000,"Riding","18C","17C","95%","115.434V","0","2","11","22C","21C","0",,,,,,
3143,1403705408000,"Riding","18C","17C","95%","115.433V","0","2","11","22C","21C","0",,,,,,
3144,1403705411000,"Riding","18C","17C","95%","115.435V","0","2","11","22C","21C","0",,,,,,
3145,1403705414000,"Riding","18C","17C","95%","115.433V","0","1","11","22C","21C","0",,,,,,
3146,1403705417000,"Riding","18C","17C","95%","115.436V","0","2","11","21C","21C","0",,,,,,
3147,1403705420000,"Riding","18C","17C","95%","115.430V","0","2","11","22C","21C","0",,,,,,
3148,1403705423000,"Riding","18C","17C","95%","115.430V","0","2","11","21C","21C","0",,,,,,
3149,1403705426000,"Riding","18C","17C","95%","115.432V","0","2","11","22C","21C","0",,,,,,
3150,1403705429000,"Riding","18C","17C","95%","115.436V","0","2","11","22C","21C","0",,,,,,
3151,1403705432000,"Riding","18C","17C","95%","115.435V","0","2","11","21C","21C","0",,,,,,
3152,1403705435000,"Riding","18C","17C","95%","115.431V","0","2","11","22C","21C","0",,,,,,
3153,1403705438000,"Riding","18C","17C","95%","115.432V","0","2","11","21C","21C","0",,,,,,
3154,1403705441000,"Riding","18C","17C","95%","115.429V","0","2","11","21C","21C","0",,,,,,
